id,code,name
554,FILM 416,FrenchCinema throughNewWave TR
554,FILM 755,FrenchCinema throughNewWave TR
554,FREN 394,FrenchCinema throughNewWave TR
554,FREN 752,FrenchCinema throughNewWave TR
554,LITR 366,FrenchCinema throughNewWave TR
555,CPLT 961,Inquisitions
555,SPAN 619,Inquisitions
556,CPLT 968,The End of the World
556,LITR 401,The End of the World
556,SPAN 318,The End of the World
556,SPAN 618,The End of the World
557,CPSC 035,21st Century Computer Music
557,MUSI 035,21st Century Computer Music
558,CPSC 112,Introduction to Programming
559,CPSC 123,YData
559,PLSC 351,YData
559,S&DS 123,YData
559,S&DS 523,YData
560,CPSC 184,IntellectualPropertyDigitalAge
561,CPSC 185,"Control, Privacy & Technology"
562,CPSC 200,Intro to Information Systems
563,CPSC 201,Intro to Computer Science
564,CPSC 202,MathematiclToolsForComputerSci
565,CPSC 210,"Power,Security, & Surveillance"
565,PLSC 369,"Power,Security, & Surveillance"
566,CPSC 223,DataStructres&ProgrmmngTechnqs
567,CPSC 235,Self-DrivingCarsTheoryPractice
567,EENG 245,Self-DrivingCarsTheoryPractice
568,CPSC 290,Directed Research
569,CPSC 310,"Technology, Power, & Security"
570,CPSC 323,SystemsProgramng&ComputerOrgzn
571,CPSC 335,TheoryAndImplOfSelfDrivingCars
572,CPSC 338,Digital Systems
572,EENG 348,Digital Systems
574,CPSC 365,Algorithms
574,ECON 365,Algorithms
575,CPSC 366,Intensive Algorithms
575,ECON 366,Intensive Algorithms
576,CPSC 421,Compilers and Interpreters
576,CPSC 521,Compilers and Interpreters
577,CPSC 423,PrinciplesOf Operating Systems
577,CPSC 523,PrinciplesOf Operating Systems
578,CPSC 424,ParallelProgrammingTechniques
578,CPSC 524,ParallelProgrammingTechniques
579,CPSC 427,Object-Oriented Programming
579,CPSC 527,Object-Oriented Programming
580,CPSC 428,Language-Based Security
580,CPSC 528,Language-Based Security
581,CPSC 432,ComputerMusic: Sound Synthesis
581,CPSC 532,ComputerMusic: Sound Synthesis
581,MUSI 427,ComputerMusic: Sound Synthesis
582,CPSC 433,Computer Networks
582,CPSC 533,Computer Networks
583,CPSC 434,Topics in Networked Systems
583,CPSC 534,Topics in Networked Systems
584,CPSC 446,Data and Info. Visualization
584,CPSC 546,Data and Info. Visualization
585,CPSC 451,The User Interface
585,CPSC 551,The User Interface
587,CPSC 456,Wireless Technologies
587,CPSC 556,Wireless Technologies
587,EENG 451,Wireless Technologies
